,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
22449,1220063900,102,¼º¼ö´ë±³³²´Ü,0,,POINT (127.0350644467638 37.532233931878025)
22450,1220064000,106,¾Ë·ÎÇÁÆ®È£ÅÚ¼­¿ï°­³²,0,,POINT (127.05536425588011 37.523298821804076)
22451,1220064100,106,º»´ÙºóÄ¡,0,,POINT (127.06659000903049 37.516509786854876)
22462,1220150700,102,¾Ð±¸Á¤µ¿433,0,,POINT (127.02147113043577 37.52639309259932)
22463,1220150800,102,½Å»çµ¿667-31,0,,POINT (127.02762059946127 37.52381842955044)
22464,1220150900,102,¾Ð±¸Á¤µ¿386,0,,POINT (127.019783773599 37.527376301198814)
22465,1220151000,102,½Å»çµ¿667-3,0,,POINT (127.0208212779175 37.517385796935336)
22466,1220151100,102,³íÇöµ¿280-17,0,,POINT (127.02349610700288 37.510061660646905)
22467,1220151200,101,»ï¼ºµ¿111-107,0,,POINT (127.04541906008163 37.516669365590076)
22468,1220151300,102,°­³²±¸Ã»,0,,POINT (127.04836878850462 37.5171193323251)
22469,1220151400,102,Ã»´ãµ¿77-75,0,,POINT (127.05243089301368 37.519994024659816)
22470,1220151500,102,¿ª»ïµ¿801-21,0,,POINT (127.03654497522162 37.505153976317345)
22471,1220151600,102,¿ª»ïµ¿635,0,,POINT (127.02983311614086 37.501562683364455)
22472,1220151700,102,»ç¶÷°úÀÚ¿¬°Ç¼³º»»ç,0,,POINT (127.06101773826421 37.50757884701249)
22473,1220151800,102,´ëÄ¡µ¿1012-111,0,,POINT (127.05948039082459 37.506129005052216)
22474,1220151900,101,µµ°îµ¿958-24,0,,POINT (127.03618269854736 37.48551457789302)
22475,1220152000,102,µµ°îµ¿612,0,,POINT (127.03667015212321 37.485781217056434)
22476,1220152100,101,µµ°îµ¿876-18,0,,POINT (127.04005731137684 37.4892808332356)
22477,1220152200,102,µµ°îµ¿181-1,0,,POINT (127.04503188378017 37.48707278625828)
22478,1220152300,102,µµ°îµ¿556-8,0,,POINT (127.04270704245184 37.49233049745674)
22479,1220152400,102,°­³²¼¼ºê¶õ½ºº´¿ø,0,,POINT (127.04541928926304 37.49315541841046)
22480,1220152500,101,¿ª»ïµ¿805-44,0,,POINT (127.05141870615965 37.49729664373211)
22481,1220152600,102,´ëÄ¡µ¿317-2,0,,POINT (127.06285515764912 37.49885486739717)
22482,1220152700,102,´ëÄ¡µ¿317-2,0,,POINT (127.06466748787562 37.49943814482269)
22483,1220152800,101,´ëÄ¡µ¿600-13,0,,POINT (127.05920553876632 37.49359711976105)
22484,1220152900,101,´ëÄ¡µ¿600-13,0,,POINT (127.06045542050714 37.494147063276934)
22485,1220153000,102,´ëÄ¡µ¿600-13,0,,POINT (127.06191778188004 37.49481366273055)
22486,1220153100,101,´ëÄ¡µ¿600-13,0,,POINT (127.05793065947262 37.49300551355832)
