interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220032901,1.66,12.71,2,0,34
0.0,1800.00,1220032902,1.45,13.26,0,0,34
0.0,1800.00,1220032903,1.41,13.22,0,0,33
0.0,1800.00,1220032904,1.28,13.18,0,0,30
0.0,1800.00,1220034407,0.67,13.43,0,0,16
0.0,1800.00,1220032905,1.17,13.21,0,5,28
0.0,1800.00,1220033002,1.27,13.29,0,0,30
0.0,1800.00,1220033003,0.90,13.30,0,0,20
0.0,1800.00,1220033004,0.89,12.87,2,0,18
0.0,1800.00,1220033101,2.14,13.24,0,0,49
0.0,1800.00,1220033102,2.92,12.87,20,0,48
0.0,1800.00,1220033103,2.53,13.32,0,0,57
0.0,1800.00,1220033104,2.83,10.98,0,0,55
0.0,1800.00,1220033201,1.14,13.48,0,0,27
0.0,1800.00,1220033202,0.71,13.48,0,0,17
0.0,1800.00,1220033301,0.37,13.71,0,0,9
0.0,1800.00,1220033001,1.90,12.89,0,1,43
0.0,1800.00,1220035904,1.96,13.21,0,0,45
0.0,1800.00,1220034502,0.82,12.01,0,0,17
0.0,1800.00,1220034505,0.96,12.34,0,7,21
0.0,1800.00,1220035205,0.56,13.37,0,0,13
0.0,1800.00,1220035302,1.12,13.34,0,0,27
0.0,1800.00,1220035303,1.09,13.34,0,0,26
0.0,1800.00,1220035304,1.24,13.21,0,4,26
0.0,1800.00,1220035305,0.96,13.16,0,0,22
0.0,1800.00,1220035401,0.70,9.50,0,0,12
0.0,1800.00,1220035402,0.41,13.14,0,0,9
0.0,1800.00,1220035403,0.40,12.94,0,0,9
0.0,1800.00,1220035404,0.32,12.27,3,0,4
0.0,1800.00,1220035501,0.71,12.31,0,0,15
0.0,1800.00,1220035502,0.66,13.53,0,9,15
0.0,1800.00,1220035503,0.37,12.32,2,0,6
0.0,1800.00,1220035504,0.27,12.81,0,0,6
0.0,1800.00,1220035600,0.67,12.43,12,0,3
0.0,1800.00,1220035700,0.09,11.92,0,0,2
0.0,1800.00,1220035801,1.95,8.12,0,0,27
0.0,1800.00,1220035802,1.10,12.79,0,0,25
0.0,1800.00,1220035803,0.85,12.95,0,0,19
0.0,1800.00,1220035804,0.84,13.00,0,0,19
0.0,1800.00,1220035901,2.75,12.82,0,0,61
0.0,1800.00,1220035902,2.37,13.06,4,3,51
0.0,1800.00,1220035204,0.62,13.32,0,0,13
0.0,1800.00,1220035203,0.55,13.37,0,0,13
0.0,1800.00,1220035202,1.10,10.90,0,0,21
0.0,1800.00,1220035104,0.79,12.86,1,0,17
0.0,1800.00,1220034506,0.53,13.03,0,0,13
0.0,1800.00,1220034507,0.45,15.25,0,0,12
0.0,1800.00,1220034601,1.54,12.55,4,2,30
0.0,1800.00,1220034602,2.02,13.25,0,19,48
0.0,1800.00,1220034603,1.43,13.51,0,0,34
0.0,1800.00,1220034701,2.34,13.13,1,0,53
0.0,1800.00,1220034702,2.16,13.13,0,0,51
0.0,1800.00,1220034703,1.54,13.22,0,0,36
0.0,1800.00,1220034801,2.06,12.89,0,0,45
0.0,1800.00,1220034802,2.53,12.83,2,11,55
0.0,1800.00,1220034504,0.52,13.00,0,0,11
0.0,1800.00,1220034803,1.83,12.66,9,0,32
0.0,1800.00,1220034901,1.78,13.26,0,0,40
0.0,1800.00,1220034902,1.68,13.09,0,0,40
0.0,1800.00,1220034903,1.14,13.41,0,0,27
0.0,1800.00,1220035001,0.64,12.28,0,0,14
0.0,1800.00,1220035002,2.12,4.87,0,0,18
0.0,1800.00,1220035003,0.96,12.95,0,0,22
0.0,1800.00,1220035004,1.17,13.07,0,5,27
0.0,1800.00,1220035101,2.68,5.49,0,0,26
0.0,1800.00,1220035102,1.49,13.04,0,5,34
0.0,1800.00,1220035103,0.77,13.03,0,0,19
0.0,1800.00,1220034804,0.86,11.42,0,0,17
0.0,1800.00,1220032705,0.27,12.91,0,0,6
0.0,1800.00,1220069301,0.22,8.13,0,3,3
0.0,1800.00,1220069500,0.30,7.93,0,0,4
0.0,1800.00,1220097300,0.36,15.80,0,0,10
0.0,1800.00,1220097400,0.26,6.62,0,0,4
0.0,1800.00,1220097500,0.25,6.63,0,3,3
0.0,1800.00,1220097700,0.37,7.59,0,0,5
0.0,1800.00,1220098100,0.91,11.16,0,0,18
0.0,1800.00,1220098600,0.57,7.51,0,5,7
0.0,1800.00,1220098700,0.69,6.53,3,0,5
0.0,1800.00,1220099200,0.41,6.85,4,0,1
0.0,1800.00,1220099700,0.30,7.33,4,0,0
0.0,1800.00,1220100000,0.51,8.05,0,0,7
0.0,1800.00,1220100100,0.49,7.27,0,0,6
0.0,1800.00,1220100200,0.08,7.29,1,0,0
0.0,1800.00,1220100500,0.28,10.18,0,5,5
0.0,1800.00,1220101900,0.42,7.82,1,0,5
0.0,1800.00,1220102000,0.15,7.24,2,0,0
0.0,1800.00,1220102200,0.50,7.98,0,0,7
0.0,1800.00,1220102300,0.16,7.29,0,0,2
0.0,1800.00,1220102500,0.35,8.15,0,0,6
0.0,1800.00,1220103100,0.36,7.68,3,2,2
0.0,1800.00,1220103300,1.16,7.82,0,2,16
0.0,1800.00,1220103400,0.07,8.09,0,0,1
0.0,1800.00,1220097200,0.72,10.05,0,9,13
0.0,1800.00,1220097100,1.33,7.15,10,2,7
0.0,1800.00,1220097000,2.31,2.95,0,0,12
0.0,1800.00,1220096700,0.19,5.84,2,0,0
0.0,1800.00,1220089600,0.47,7.16,6,0,0
0.0,1800.00,1220089800,0.16,6.34,2,0,0
0.0,1800.00,1220090100,1.41,10.35,0,0,26
0.0,1800.00,1220091000,0.10,5.74,0,0,1
0.0,1800.00,1220092700,0.09,6.24,1,0,0
0.0,1800.00,1220092900,0.08,7.35,0,0,1
0.0,1800.00,1220093002,0.32,8.58,5,0,0
0.0,1800.00,1220093200,0.68,6.57,8,0,0
0.0,1800.00,1220093400,0.21,13.71,0,0,5
0.0,1800.00,1220093600,0.29,7.69,0,4,4
0.0,1800.00,1220103500,0.37,7.64,0,0,5
0.0,1800.00,1220093800,0.62,7.33,0,0,8
0.0,1800.00,1220094900,0.08,6.71,1,0,0
0.0,1800.00,1220095000,0.14,12.06,0,0,3
0.0,1800.00,1220095100,0.08,8.51,2,0,0
0.0,1800.00,1220095200,0.24,6.99,3,0,0
0.0,1800.00,1220095400,0.24,7.03,3,0,0
0.0,1800.00,1220095500,0.84,7.69,2,0,10
0.0,1800.00,1220095700,0.91,11.19,0,0,18
0.0,1800.00,1220095800,1.10,15.57,3,0,27
0.0,1800.00,1220095900,0.36,8.17,0,5,5
0.0,1800.00,1220096600,0.72,7.35,0,0,9
0.0,1800.00,1220094500,0.08,7.20,0,0,1
0.0,1800.00,1220089200,0.50,6.70,6,0,0
0.0,1800.00,1220103600,0.08,14.08,0,0,2
0.0,1800.00,1220104400,0.27,8.43,0,4,4
0.0,1800.00,1220323500,0.58,8.06,0,0,8
0.0,1800.00,1220323600,0.57,7.74,8,0,0
0.0,1800.00,1220323800,0.50,10.32,0,0,9
0.0,1800.00,1220329300,0.79,7.06,10,0,0
0.0,1800.00,1220329700,0.31,7.26,2,0,2
0.0,1800.00,1220330800,0.41,6.82,5,0,0
0.0,1800.00,1220332700,0.25,6.98,0,0,3
0.0,1800.00,1220332800,0.56,7.18,3,0,4
0.0,1800.00,1220333500,1.49,7.61,11,1,9
0.0,1800.00,1220333900,0.87,9.31,0,14,14
0.0,1800.00,1220334100,0.81,9.90,0,14,14
0.0,1800.00,1220334200,1.81,9.05,0,0,28
0.0,1800.00,1220341900,0.97,12.69,0,0,25
0.0,1800.00,1220342000,0.13,14.62,0,0,3
0.0,1800.00,1220342600,0.15,19.12,2,0,3
0.0,1800.00,1220342800,0.73,20.97,0,0,27
0.0,1800.00,1220342900,0.16,17.41,2,3,3
0.0,1800.00,1220343000,0.71,21.66,0,0,28
0.0,1800.00,1220345701,0.53,10.66,2,0,8
0.0,1800.00,1220345801,0.53,19.09,0,0,18
0.0,1800.00,1220345901,0.72,20.10,8,0,18
0.0,1800.00,1220323300,0.29,7.74,0,2,4
0.0,1800.00,1220323100,0.09,6.49,1,0,0
0.0,1800.00,1220323000,0.82,6.80,8,2,2
0.0,1800.00,1220322600,0.22,7.69,0,0,3
0.0,1800.00,1220104700,0.07,8.18,0,1,1
0.0,1800.00,1220105000,0.35,8.17,0,0,5
0.0,1800.00,1220105200,0.40,6.98,5,0,0
0.0,1800.00,1220105400,0.09,11.86,0,0,2
