,LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
270168,1220002901,1220064100,1220001500,3,102,000,61,동부간선도로,0,0,000,80,5,0,0,2278.31932522851,,"LINESTRING (127.06659000903049 37.516509786854876, 127.06668559579886 37.515981515130335, 127.06685061202019 37.514851976885964, 127.06693543890563 37.514308278508764, 127.06730139094292 37.511883479714534, 127.06763616095343 37.50982026254997, 127.06776545591394 37.50890154675194, 127.06784597831856 37.50835651075356, 127.06806957065706 37.50723987052592, 127.06837781092459 37.50554795293446, 127.06842746934181 37.5053167740168, 127.06851790909757 37.50499143349877, 127.0685997482341 37.50476624732377, 127.0686904776311 37.50455613513844, 127.06879446442167 37.50434316437541, 127.06892590934967 37.504093494865316, 127.06907150505297 37.50386471934892, 127.06927159655395 37.50358527699883, 127.06945858908603 37.50337420488684, 127.0696573848932 37.50316872075622, 127.06984342278751 37.502984076877176, 127.0700620459691 37.50279510567069, 127.07033889033185 37.502581460503485, 127.07063420220891 37.50237845622848, 127.07096175621588 37.50218242905482, 127.07131174990366 37.50200469045163, 127.0716387080506 37.501859716334415, 127.07198388769616 37.50172557290953, 127.07233838983218 37.5016094500871, 127.07268298835086 37.50151529160395, 127.07302700749013 37.50143211393028, 127.07357179107989 37.50132055575042, 127.0752817881815 37.50097613663829, 127.0774069989859 37.50055443857948)"
270441,1220003000,1220001400,1220001900,3,102,000,61,동부간선도로,0,0,000,80,5,0,0,1897.09934503606,,"LINESTRING (127.08272517716551 37.499140932845904, 127.08051923757054 37.49988685821715, 127.07991722608203 37.50009136467176, 127.07954186860253 37.500210558891, 127.07913467955403 37.50031900081744, 127.07880079888075 37.5003983278145, 127.0784311043834 37.50048120779118, 127.07532032246097 37.50109848487608, 127.07361090053257 37.50144278795186, 127.07306972302693 37.501553607958016, 127.07273167549997 37.50163534137001, 127.07239422542554 37.50172754673764, 127.0720487639698 37.5018407080123, 127.07171196660981 37.501971593905715, 127.0713928726625 37.50211308108388, 127.07105198844754 37.502286194088825, 127.07073357944351 37.50247674873208, 127.07044577540911 37.50267459051847, 127.07017542921886 37.5028832233831, 127.06996351053878 37.50306639826173, 127.06978183641533 37.50324671131939, 127.06958602697401 37.50344910885494, 127.06940535003424 37.50365305410674, 127.0692109639505 37.50392452754909, 127.06906971193746 37.50414647918399, 127.06894127728467 37.50439043201835, 127.0688391793986 37.50459953379249, 127.0687507470104 37.504804327921676, 127.06867140596376 37.50502264258289, 127.06858289108379 37.50534106328041, 127.06853421854214 37.505567652871314, 127.06822611001733 37.50725886530096, 127.06800285547496 37.50837382525219, 127.06793796641487 37.50881305910737)"
270442,1220003101,1220036900,1220001700,4,103,000,47,영동대로,0,0,000,60,0,0,0,82.490081499515,,"LINESTRING (127.0647157182138 37.50589028686062, 127.06508657323121 37.505208291625486)"
270450,1220003102,1220037500,1220036900,4,103,000,47,영동대로,0,0,000,60,0,0,0,125.137745900674,,"LINESTRING (127.0641449511488 37.506921650633714, 127.06471589324104 37.50588996780893)"
270513,1220003103,1220038600,1220037500,4,103,000,47,영동대로,0,0,000,60,0,0,0,73.283453441097,,"LINESTRING (127.06381058749503 37.50752582575251, 127.0641449511488 37.506921650633714)"
270548,1220003104,1220040300,1220038600,4,103,000,47,영동대로,0,0,000,60,0,0,0,161.677608113234,,"LINESTRING (127.06309270576934 37.50886630183289, 127.06381026340162 37.507526420590786)"
270573,1220003203,1220037500,1220038600,5,103,000,47,영동대로,0,0,000,60,0,0,0,73.283453442801,,"LINESTRING (127.06426913732808 37.50696526745457, 127.06393477448165 37.507569442919674)"
270578,1220003503,1220001900,1220047800,1,102,000,88,올림픽대로,0,0,102,40,5,0,0,1045.48435346472,,"LINESTRING (127.06793796641487 37.50881305910737, 127.06792691328587 37.50975587661546, 127.0677995011266 37.51108496369446, 127.06770257159995 37.51231876790785, 127.06761590913518 37.51306967735833, 127.06750751329936 37.51369530277385, 127.06722070300363 37.51540538042928, 127.06706584256919 37.51629913062384, 127.06696716187756 37.51653725335044, 127.06688386372878 37.51670388707146, 127.06679338998165 37.516816835797144, 127.06656732671317 37.51707833909222, 127.06621370636603 37.517393033071365, 127.06600274767953 37.5176307430099, 127.06581852194516 37.51789200070536)"
270600,1220003302,1220042500,1220040300,6,103,000,47,영동대로,0,0,000,50,0,0,0,511.226866312322,,"LINESTRING (127.06081794678035 37.51310100426392, 127.06309273400034 37.50886624865854)"
286653,1210005600,1210050100,1210049800,1,104,000,-,압구정로,0,0,104,50,0,0,0,283.852961802769,,"LINESTRING (127.01760941778527 37.521934525483005, 127.01764965309955 37.52125185487422, 127.01765080439996 37.52107299662076, 127.01762201476085 37.520894015791434, 127.01756293951203 37.52076857074483, 127.01748835583967 37.52072653110355, 127.0173765001585 37.520660490581506, 127.01724176524654 37.520659939992115, 127.01708438467357 37.52068910760426, 127.01694918965661 37.52076009998562, 127.0168663898408 37.520831306387606, 127.01680593193547 37.52092049086899, 127.0168203645879 37.52100401899227, 127.01685736778387 37.52106975359124, 127.01695386840603 37.521195352194724, 127.01723664422649 37.52143671786168)"
